Customer Name,Customer Address,Product Name,Color,Material,Category,Total Quantity Sold,Inventory (Stock),Price (Before GST),GST Amount,Discount (%),Profit,Total Price (With GST),Transaction Date,Year,Month,Day
William Subramaniam,"Narela, Delhi - 110074",Chair,Black,Plastic,Chair,4,22,13743,4713,10,7228,16610.4,2023-06-14,2023,6,14
Chaaya Viswanathan,"Holambi, Delhi - 110057",Dressing Table,Green,Plastic,Dressing Table,1,11,6424,4177,20,2538,8480.8,2022-06-21,2022,6,21
Balvan Khanna,"Vasant Kunj, Delhi - 110047",Mattress,Red,Wood,Mattress,8,16,34050,947,15,7553,29747.45,2023-09-12,2023,9,12
Yachana Bandi,"Dwarka, Delhi - 110014",Chair,Brown,Plastic,Chair,5,15,19193,1257,15,4889,17382.5,2023-07-27,2023,7,27
Rachit Hayre,"Dwarka, Delhi - 110007",Cupboard,Brown,Board,Cupboard,9,24,9521,1007,20,7253,8422.4,2023-02-25,2023,2,25
Divya Char,"Saket, Delhi - 110046",Cupboard,White,Glass,Cupboard,6,20,41033,1786,10,8289,38537.1,2024-12-26,2024,12,26
Manbir Dalal,"Pranshant Vihar, Delhi - 110029",Bed - Single Bed,Green,Iron,Bed,6,23,6251,2147,15,4060,7138.3,2022-01-21,2022,1,21
Priya Padmanabhan,"Saket, Delhi - 110054",Chair,Grey,Iron,Chair,10,28,31390,1156,5,1119,30918.7,2023-05-22,2023,5,22
Raksha Khatri,"Dwarka, Delhi - 110047",Bed - Single Bed,White,Metal,Bed,3,23,12607,1964,15,3469,12385.35,2020-10-12,2020,10,12
Kalpit Mandal,"Lampur Border, Delhi - 110022",Sofa,Red,Glass,Sofa,2,6,47254,3171,20,8345,40340.0,2023-08-11,2023,8,11
Shaurya Thakkar,"Alipur, Delhi - 110038",Bed - Double Bed,Yellow,Glass,Bed,10,24,35229,2076,10,4416,33574.5,2021-12-28,2021,12,28
Ranbir Maharaj,"Pranshant Vihar, Delhi - 110035",Cooler,Brown,Plastic,Cooler,5,18,48329,4445,20,8994,42219.2,2023-03-11,2023,3,11
Ekaja Kala,"Dwarka, Delhi - 110021",Cooler,Grey,Plastic,Cooler,2,20,19956,1730,20,5770,17348.8,2023-05-11,2023,5,11
Yamini Setty,"Pranshant Vihar, Delhi - 110053",Cooler,White,Wood,Cooler,1,4,9212,1891,5,5259,10547.85,2023-06-07,2023,6,7
Samarth Bala,"Narela, Delhi - 110009",Bed - Single Bed,Grey,Wood,Bed,1,9,22971,1065,15,7559,20430.6,2021-01-30,2021,1,30
Zinal Jhaveri,"Karol Bagh, Delhi - 110067",Dressing Table,White,Metal,Dressing Table,7,26,41918,3557,15,4039,38653.75,2023-05-07,2023,5,7
Omkaar Taneja,"Singhu Border, Delhi - 110079",Chair,Yellow,Glass,Chair,4,13,48245,1987,15,3209,42697.2,2023-09-26,2023,9,26
Farhan Dhingra,"Holambi, Delhi - 110073",Mattress,Red,Plastic,Mattress,6,10,47614,2675,20,5220,40231.2,2023-07-25,2023,7,25
Nicholas Palla,"Singhu Border, Delhi - 110002",Mandir,Green,Board,Mandir,4,6,23437,2977,15,7017,22451.9,2021-06-21,2021,6,21
Falguni Mitra,"Shalimar Bagh, Delhi - 110091",Mandir,Blue,Wood,Mandir,4,14,20175,930,15,1736,17939.25,2021-03-21,2021,3,21
Dominic Gole,"Vasant Kunj, Delhi - 110090",Mandir,Yellow,Wood,Mandir,5,8,22000,1917,20,5106,19133.6,2024-06-22,2024,6,22
Dhriti Shan,"Holambi, Delhi - 110037",Mattress,Yellow,Iron,Mattress,10,20,26063,1105,10,9038,24451.2,2020-09-05,2020,9,5
Daniel Raval,"Janakpuri, Delhi - 110061",Cupboard,Red,Metal,Cupboard,8,12,39370,3620,5,2846,40840.5,2023-07-10,2023,7,10
Raksha Ganesan,"Janakpuri, Delhi - 110020",Dressing Table,Yellow,Metal,Dressing Table,6,13,6791,2738,5,1374,9052.55,2021-05-12,2021,5,12
Dhriti Raman,"Singhu Border, Delhi - 110078",Mattress,Red,Wood,Mattress,6,24,32222,3622,15,9214,30467.4,2020-12-15,2020,12,15
Oliver Ray,"Dwarka, Delhi - 110039",Bed - Single Bed,Green,Glass,Bed,9,25,19550,614,20,3641,16131.2,2023-03-20,2023,3,20
Ayush Ranganathan,"Holambi, Delhi - 110004",Mattress,Green,Board,Mattress,2,3,33688,706,10,9270,30954.6,2024-08-02,2024,8,2
Urishilla Sankaran,"Vasant Kunj, Delhi - 110072",Cooler,Red,Metal,Cooler,10,23,48282,3273,5,8611,48977.25,2024-12-23,2024,12,23
Wakeeta Vaidya,"Narela, Delhi - 110044",Sofa,Brown,Iron,Sofa,8,15,18297,3006,15,2633,18107.55,2022-10-13,2022,10,13
Chandani Manne,"Pranshant Vihar, Delhi - 110021",Dressing Table,Yellow,Iron,Dressing Table,7,25,48997,908,10,9255,44914.5,2020-04-21,2020,4,21
Victor Devan,"Shalimar Bagh, Delhi - 110089",Cupboard,Red,Board,Cupboard,9,11,48836,4032,5,4490,50224.6,2021-10-04,2021,10,4
Yauvani Banerjee,"Pranshant Vihar, Delhi - 110051",Mattress,Blue,Glass,Mattress,10,28,45035,895,5,6626,43633.5,2024-11-01,2024,11,1
Luke Nazareth,"Saket, Delhi - 110047",Chair,Black,Board,Chair,4,7,9467,3130,15,607,10707.45,2020-09-19,2020,9,19
Aadi Lalla,"Shalimar Bagh, Delhi - 110001",Bed - Single Bed,Brown,Glass,Bed,4,19,11413,2550,5,5418,13264.85,2020-06-20,2020,6,20
Chanchal Dutta,"Pranshant Vihar, Delhi - 110030",Bed - Double Bed,Green,Iron,Bed,1,3,36232,1610,10,2071,34057.8,2020-12-12,2020,12,12
Aashi Date,"Narela, Delhi - 110002",Mattress,Black,Iron,Mattress,2,6,21935,2132,20,2265,19253.6,2023-11-12,2023,11,12
Yuvraj Panchal,"Pitampura, Delhi - 110033",Dressing Table,Grey,Board,Dressing Table,7,9,37651,1320,15,8783,33125.35,2024-09-06,2024,9,6
Bhavini Thakkar,"Karol Bagh, Delhi - 110025",Mattress,White,Wood,Mattress,10,30,47046,1203,15,2864,41011.65,2021-03-06,2021,3,6
Chavvi Kant,"Shalimar Bagh, Delhi - 110048",Cooler,Green,Glass,Cooler,5,24,43524,1940,5,8949,43190.8,2022-08-14,2022,8,14
Yuvraj Jayaraman,"Dwarka, Delhi - 110068",Bed - Single Bed,Black,Metal,Bed,5,21,17827,3264,15,5717,17927.35,2022-10-08,2022,10,8
Urmi Rau,"Vasant Kunj, Delhi - 110013",Cupboard,Brown,Glass,Cupboard,7,22,40714,1056,10,9148,37593.0,2022-11-28,2022,11,28
Pahal Pal,"Saket, Delhi - 110039",Dressing Table,Green,Glass,Dressing Table,8,14,35845,2794,15,6420,32843.15,2021-04-10,2021,4,10
Pooja Parekh,"Alipur, Delhi - 110015",Mattress,Grey,Plastic,Mattress,4,13,7295,4647,5,875,11344.9,2020-04-21,2020,4,21
Naksh Srivastava,"Janakpuri, Delhi - 110071",Mattress,White,Board,Mattress,1,8,29756,3555,10,4949,29979.9,2023-05-28,2023,5,28
Irya Majumdar,"Alipur, Delhi - 110023",Sofa,Yellow,Board,Sofa,6,18,6228,3500,10,8355,8755.2,2021-03-09,2021,3,9
Ladli Bail,"Pitampura, Delhi - 110042",Mattress,Blue,Metal,Mattress,4,14,14872,3212,15,3503,15371.4,2022-02-19,2022,2,19
Benjamin Garde,"Narela, Delhi - 110080",Cupboard,Grey,Board,Cupboard,6,13,17398,1331,5,9905,17792.55,2020-12-31,2020,12,31
Omya Natarajan,"Narela, Delhi - 110009",Dressing Table,White,Glass,Dressing Table,7,8,6498,2412,20,5443,7128.0,2023-11-27,2023,11,27
Yashvi Bhatt,"Vasant Kunj, Delhi - 110037",Cooler,Red,Glass,Cooler,1,9,18086,1837,20,1625,15938.4,2021-12-03,2021,12,3
Varsha Goswami,"Karol Bagh, Delhi - 110014",Mandir,Yellow,Metal,Mandir,2,10,33753,1041,20,2193,27835.2,2020-08-07,2020,8,7
Anthony Naidu,"Pranshant Vihar, Delhi - 110077",Cooler,Red,Board,Cooler,2,15,33694,1675,5,7679,33600.55,2021-06-13,2021,6,13
Vyanjana Magar,"Pranshant Vihar, Delhi - 110047",Chair,White,Iron,Chair,2,17,42515,4565,5,7708,44726.0,2024-01-05,2024,1,5
Ridhi Parsa,"Rohini, Delhi - 110044",Cooler,Red,Wood,Cooler,5,16,13320,4961,5,3072,17366.95,2023-12-08,2023,12,8
Wahab Manne,"Lajpat Nagar, Delhi - 110054",Bed - Single Bed,White,Plastic,Bed,2,14,8890,3724,10,6375,11352.6,2023-11-30,2023,11,30
Nathan Tiwari,"Rohini, Delhi - 110007",Mattress,Black,Board,Mattress,9,23,13589,3237,15,2284,14302.1,2023-01-21,2023,1,21
Patrick Konda,"Saket, Delhi - 110021",Mattress,Black,Plastic,Mattress,8,19,38390,3346,15,5865,35475.6,2023-11-18,2023,11,18
Radhika Sen,"Lampur Border, Delhi - 110002",Cooler,Grey,Glass,Cooler,1,5,46391,975,10,9547,42629.4,2023-01-03,2023,1,3
Baljiwan Tak,"Rohini, Delhi - 110003",Cooler,Red,Wood,Cooler,7,10,25173,3214,15,8524,24128.95,2020-01-19,2020,1,19
Kiaan Dixit,"Janakpuri, Delhi - 110032",Cupboard,Grey,Plastic,Cupboard,3,5,19781,2900,10,1381,20412.9,2023-09-24,2023,9,24
Ekanta Anand,"Singhu Border, Delhi - 110079",Chair,Yellow,Metal,Chair,10,12,39980,3495,10,7301,39127.5,2024-09-19,2024,9,19
Gautami Devi,"Singhu Border, Delhi - 110038",Cupboard,Brown,Metal,Cupboard,5,21,28205,588,10,4460,25913.7,2022-10-29,2022,10,29
Bhavna Divan,"Saket, Delhi - 110012",Dressing Table,White,Metal,Dressing Table,9,20,29966,4090,10,9050,30650.4,2022-03-19,2022,3,19
Jagdish Sheth,"Pitampura, Delhi - 110065",Cupboard,Blue,Plastic,Cupboard,6,26,16566,4822,15,9720,18179.8,2023-05-15,2023,5,15
Vidhi Rajagopal,"Shalimar Bagh, Delhi - 110043",Cooler,Green,Iron,Cooler,10,16,12816,3735,5,8217,15723.45,2023-10-22,2023,10,22
Nitesh Pradhan,"Alipur, Delhi - 110028",Sofa,Black,Plastic,Sofa,7,14,22249,3115,5,9506,24095.8,2023-09-18,2023,9,18
